"Número"|"Personaje presentado"|"Fecha"|"Correspondencias USA"
"1044"|"Bip Bip El Correcaminos"|"26/05/74"|""
"1045"|"La hermandad de la lanza"|"02/06/74"|""
"1046"|"Dimensión desconocida"|"09/06/74"|""
"1047"|"Boris Karloff"|"16/06/74"|""
"1048"|"Bip Bip El Correcaminos"|"23/06/74"|""
"1049"|"El Corredor Mod"|"30/06/74"|""
"1050"|"Los gemelos de la selva"|"11/07/74"|""
"1051"|"Dagar el invencible"|"22/07/74"|""
"1052"|"Bip Bip El Correcaminos"|"01/08/74"|""
"1053"|"La hermandad de la lanza"|"15/08/74"|""
"1054"|"Trompín y Colita"|"30/08/74"|""
"1055"|"Boris Karloff"|"06/09/74"|""
"1056"|"Bip Bip el Correcaminos"|"13/09/74"|""
"1057"|"Dimensión desconocida"|"20/09/74"|""
"1058"|"Dagar el invencible"|"27/09/74"|""
"1059"|"Trompín y Colita"|"04/10/74"|""
"1060"|"Bip bip el correcaminos"|"11/10/74"|""
"1061"|"Charly Chan"|"18/10/74"|""
"1062"|"Ripley,aunque Ud. No lo crea"|"25/10/74"|""
"1063"|"Sombras tenebrosas"|"01/11/74"|""
"1064"|"Bip bip el correcaminos"|"08/11/74"|""
"1065"|"Dimensión Desconocida"|"15/11/74"|""
"1066"|"Boris Karloff"|"22/11/74"|""
"1067"|"Paco Perico"|"29/11/74"|""
"1068"|""|"05/12/74"|""
"1069"|"Ripley aunque Ud. No lo crea"|"12/12/74"|""
"1070"|"La Pantera Rosa"|"19/12/74"|""
"1071"|"El gran Chan y el clan Chan"|"26/12/74"|""
"1072"|"Bip Bip el Correcaminos"|"02/01/75"|""
"1073"|"La hora del terror"|"09/01/75"|""
"1074"|"La pantera rosa"|"16/01/75"|""
"1075"|"Dimensión Desconocida"|"23/01/75"|""
"1076"|"Bip Bip el Correcaminos"|"06/01/75"|""
"1077"|"Dagar el invencible"|"13/01/75"|""
"1078"|"La pantera rosa"|"20/01/75"|""
"1079"|"Boris Karloff"|"27/01/75"|""
"1080"|"Bip Bip el Correcaminos"|"03/02/75"|""
"1081"|""|"10/02/75"|""
"1082"|""|"17/02/75"|""
"1083"|"Rima la Mujer de la Selva"|"22/02/75"|""
"1084"|""|"02/03/75"|""
"1085"|"La hora del terror"|"12/03/75"|""
"1086"|"La pantera rosa"|"22/03/75"|""
"1087"|"Dimensión Desconocida"|"02/04/75"|""
"1088"|"Bip bip"|"12/04/75"|""
"1089"|"Ripley aunque Ud. No lo crea"|"22/04/75"|""
"1090"|"La pantera rosa"|"03/05/75"|""
"1091"|"Rima la mujer de la selva"|"14/05/75"|""
"1092"|""|"23/05/75"|""
"1093"|"Ripley Aunque Ud. No lo crea"|"03/06/75"|""
"1094"|"La pantera rosa"|"13/06/75"|""
"1095"|""|"23/06/75"|""
"1096"|""|"03/07/75"|""
"1097"|""|"10/07/75"|""
"1098"|"La pantera rosa"|"17/07/75"|""
"1099"|"Rima la mujer de la selva"|"24/07/75"|""
"1100"|"Bip Bip el Correcaminos"|"31/07/75"|""
"1101"|""|"07/08/75"|""
"1102"|""|"14/08/75"|""
"1103"|""|"21/08/75"|""
"1104"|"Bip Bip el Correcaminos"|"28/08/75"|""
"1105"|"El Doctor Misterio"|"04/09/75"|""
"1106"|""|"11/09/75"|""
"1107"|"Sombras Tenebrosas"|"18/09/75"|""
"1108"|""|"25/09/75"|""
"1109"|"Ripley Aunque Ud. No lo crea"|"02/10/75"|""
"1110"|"La Pantera Rosa"|"09/10/75"|""
"1111"|""|"16/10/75"|""
"1112"|"Bip Bip El Correcaminos"|"23/10/75"|""
"1113"|""|"30/10/75"|""
"1114"|"La Pantera Rosa"|"06/11/75"|""
"1115"|"El Doctor Misterio"|"13/11/75"|""
"1116"|"Bip Bip El Correcaminos"|"20/11/75"|""
"1117"|"Rima la mujer de la selva"|"27/11/75"|""
"1118"|""|"03/12/75"|""
"1119"|"La Hermandad de la Lanza"|"10/12/75"|""
"1120"|""|"17/12/75"|""
"1121"|"Ripley Aunque Ud. No lo crea"|"24/12/75"|""
"1122"|"La Pantera Rosa"|"31/12/75"|""
"1123"|""|"07/01/76"|""
"1124"|"Bip Bip El Correcaminos"|"14/01/76"|""
"1125"|"La Hora del Terror"|"21/01/76"|""
"1126"|""|"28/01/76"|""
"1127"|""|"04/02/76"|""
"1128"|""|"11/02/76"|""
"1129"|"Rima la Mujer de la Selva"|"18/02/76"|""
"1130"|""|"28/02/76"|""
"1131"|"El Dr. misterio"|"10/03/76"|""
"1132"|"Bip Bip El Correcaminos"|"20/03/76"|""
"1133"|"Viaje a las estrellas"|"30/03/76"|""
"1134"|"La Pantera Rosa"|"10/04/76"|""
"1135"|"Rima la mujer de la selva"|"20/04/76"|""
"1136"|""|"30/04/76"|""
"1137"|"Dagar el invencible"|"10/05/76"|""
"1138"|""|"20/05/76"|""
"1139"|"Dr. Misterio"|"30/05/76"|""
"1140"|"Bip Bip El Correcaminos"|"10/06/76"|""
"1141"|""|"20/06/76"|""
"1142"|""|"30/06/76"|""
"1143"|""|"11/07/76"|""
"1144"|"Bip Bip El Correcaminos"|"22/07/76"|""
"1145"|""|"31/07/76"|""
"1146"|"La Pantera Rosa"|"11/08/76"|""
"1147"|"Ripley Aunque Ud. No lo crea"|"22/08/76"|""
"1148"|"Lassie (17 S. colibri)"|"01/09/76"|""
"1149"|"Dagar el invencible"|"12/09/76"|""
"1150"|""|"25/09/76"|""
"1151"|"La hora del terror"|"07/10/76"|""
"1152"|""|"14/10/76"|""
"1153"|"Viaje a las Estrellas"|"21/10/76"|""
"1154"|"La Pantera Rosa"|"28/10/76"|""
"1155"|"Los pequeños monstruos"|"04/11/76"|""
"1156"|"Bip Bip El Correcaminos"|"11/11/76"|""
"1157"|"El Hombre del Tambor"|"18/11/76"|""
"1158"|""|"25/11/76"|""
"1159"|""|"02/12/76"|""
"1160"|""|"09/12/76"|""
"1161"|""|"16/12/76"|""
"1162"|""|"23/12/76"|""
"1163"|"Boris Karloff"|"31/12/76"|""
"1164"|""|"07/01/77"|""
"1165"|"La hora del terror"|"14/01/77"|""
"1166"|""|"18/01/77"|""
"1167"|"Los pequeños monstruos"|"23/01/77"|""
"1168"|""|"30/01/77"|""
"1169"|"Los gemelos de la selva"|"04/02/77"|""
"1170"|""|"10/02/77"|""
"1171"|""|"17/02/77"|""
"1172"|""|"24/02/77"|""
"1173"|""|"02/03/77"|""
"1174"|""|"09/03/77"|""
"1175"|"Dimensíon Desconocida"|"16/03/77"|""
"1176"|""|"23/03/77"|""
"1177"|"Dimensión desconocida"|"30/03/77"|""
"1178"|""|"15/04/77"|""
"1179"|"Dagar el invencible"|"22/04/77"|""
"1180"|""|"29/04/77"|""
"1181"|""|"06/05/77"|""
"1182"|"La Pantera Rosa"|"13/05/77"|""
"1183"|""|"20/05/77"|""
"1184"|"Bip Bip el Correcaminos"|"27/05/77"|""
"1185"|""|"03/06/77"|""
"1186"|""|"10/06/77"|""
"1187"|""|"17/06/77"|""
"1188"|"Bip Bip el Correcaminos"|"24/06/77"|""
"1189"|"Popeye"|"01/07/77"|""
"1190"|""|"08/07/77"|""
"1191"|"Sombras Tenebrosas"|"15/07/77"|""
"1192"|""|"22/07/77"|""
"1193"|""|"29/07/77"|""
"1194"|""|"05/08/77"|""
"1195"|"El Fantasma"|"12/08/77"|""
"1196"|"Bip Bip el Correcaminos"|"19/08/77"|""
"1197"|""|"26/08/77"|""
"1198"|""|"02/09/77"|""
"1199"|""|"09/09/77"|""
"1200"|""|"16/09/77"|""
"1201"|"Popeye"|"23/09/77"|""
"1202"|""|"30/09/77"|""
"1203"|""|"07/10/77"|""
"1204"|"Bip Bip el correcaminos"|"14/10/77"|""
"1205"|""|"21/10/77"|""
"1206"|""|"28/10/77"|""
"1207"|"Dagar el invencible"|"04/11/77"|""
"1208"|"Bip bip El correcaminos"|"11/11/77"|""
"1209"|""|"18/11/77"|""
"1210"|""|"25/11/77"|""
"1211"|"El Fantasma"|"02/12/77"|""
"1212"|""|"09/12/77"|""
"1213"|""|"16/12/77"|""
"1214"|""|"23/12/77"|""
"1215"|"Sombras tenebrosas"|"30/12/77"|""
"1216"|"Bip Bip el correcaminos"|"06/01/78"|""
"1217"|""|"13/01/78"|""
"1218"|""|"20/01/78"|""
"1219"|""|"27/01/78"|""
"1220"|"Bip Bip el correcaminos"|"03/02/78"|""
"1221"|""|"10/02/78"|""
"1222"|""|"17/02/78"|""
"1223"|""|"24/02/78"|""
"1224"|""|"01/03/78"|""
"1225"|""|"08/03/78"|""
"1226"|""|"15/03/78"|""
"1227"|""|"22/03/78"|""
"1228"|""|"29/03/78"|""
"1229"|""|"05/04/78"|""
"1230"|"La Pantera Rosa"|"12/04/78"|""
"1231"|"Boris Karloff"|"19/04/78"|""
"1232"|"Bip Bip"|"26/04/78"|""
"1233"|""|"03/05/78"|""
"1234"|""|"10/05/78"|""
"1235"|"El Fantasma"|"17/05/78"|""
"1236"|"Bip Bip el correcaminos"|"24/05/78"|""
"1237"|""|"31/05/78"|""
"1238"|""|"07/06/78"|""
"1239"|"Ripley Aunque Ud. No lo crea"|"14/06/78"|""
"1240"|"Bip Bip el correcaminos"|"21/06/78"|""
"1241"|"Popeye"|"28/06/78"|""
"1242"|""|"04/07/78"|""
"1243"|"El Fantasma"|"11/07/78"|""
"1244"|"Bip Bip el correcaminos"|"18/07/78"|""
"1245"|""|"25/07/78"|""
"1246"|""|"01/08/78"|""
"1247"|"El doctor misterio"|"08/08/78"|""
"1248"|""|"15/08/78"|""
"1249"|"Popeye"|"22/08/78"|""
"1250"|"La Pantera Rosa"|"29/08/78"|""
"1251"|""|"05/09/78"|""
"1252"|""|"12/09/78"|""
"1253"|""|"19/09/78"|""
"1254"|""|"26/09/78"|""
"1255"|""|"03/10/78"|""
"1256"|"Bip Bip el Correcaminos"|"10/10/78"|""
"1257"|""|"17/10/78"|""
"1258"|""|"24/10/78"|""
"1259"|""|"31/10/78"|""
"1260"|""|"07/11/78"|""
"1261"|""|"14/11/78"|""
"1262"|""|"21/11/78"|""
"1263"|""|"28/11/78"|""
"1264"|"Bip Bip el Correcaminos"|"05/11/78"|""
"1265"|""|"12/11/78"|""
"1266"|""|"19/11/78"|""
"1267"|"El Fantasma"|"26/11/78"|""
"1268"|"Bip Bip el Correcaminos"|"02/01/79"|""
"1269"|""|"09/01/79"|""
"1270"|""|"16/01/79"|""
"1271"|"La hora del terror"|"23/01/79"|""
"1272"|"Bip Bip el Correcaminos"|"30/01/79"|""
"1273"|""|"06/02/79"|""
"1274"|"La Pantera Rosa"|"13/02/79"|""
"1275"|"El Fantasma"|"20/02/79"|""
"1276"|"La Pantera Rosa"|"27/02/79"|""
"1277"|""|"06/03/79"|""
"1278"|""|"16/03/79"|""
"1279"|""|"23/03/79"|""
"1280"|"-"|"30/03/79"|""
"1281"|""|"06/04/79"|""
"1282"|""|"13/04/79"|""
"1283"|"El Fantasma"|"20/04/79"|""
"1284"|""|"27/04/79"|""
"1285"|"El Fantasma"|"03/05/79"|""
"1286"|""|"09/05/79"|""
"1287"|"Dagar el invencible"|"15/05/79"|""
"1288"|""|"23/05/79"|""
"1289"|""|"30/05/79"|""
"1290"|""|"07/06/79"|""
"1291"|"El Fantasma"|"14/06/79"|""
"1292"|""|"21/06/79"|""
"1293"|""|"28/06/79"|""
"1294"|"La Pantera Rosa"|"05/07/79"|""
"1295"|""|"12/07/79"|""
"1296"|"Bip Bip el Correcaminos"|"19/07/79"|""
"1297"|"Popeye"|"26/07/79"|""
"1298"|""|"02/08/79"|""
"1299"|"El Fantasma"|"09/08/79"|""
"1300"|"El Fantasma"|"16/08/79"|""
"1301"|""|"23/08/79"|""
"1302"|""|"30/08/79"|""
"1303"|"John Carter Guerrero de marte"|"06/09/79"|""
"1304"|"Ripley Aunque Ud. No lo crea"|"13/09/79"|""
"1305"|""|"20/09/79"|""
"1306"|"Boris Karloff"|"27/09/79"|""
"1307"|"El Fantasma"|"04/10/79"|""
"1308"|"La hora del terror"|"11/10/79"|""
"1309"|"Popeye"|"18/10/79"|""
"1310"|"Dimensión Desconocida"|"26/10/79"|""
"1311"|"Dagar el invencible"|"02/11/79"|""
"1312"|"Sombras Tenebrosas"|"09/11/79"|""
"1313"|""|"16/11/79"|""
"1314"|"Los gemelos de la selva"|"23/11/79"|""
"1315"|"El Fantasma"|"30/11/79"|""
"1316"|"John Carter Guerrero de Marte"|"07/12/79"|""
"1317"|""|"14/12/79"|""
"1318"|"Dimensión Desconocida"|"20/12/79"|""
"1319"|"El Doctor Misterio"|"27/12/79"|""
"1320"|"Sombras tenebrosas"|"04/01/80"|""
"1321"|""|"11/01/80"|""
"1322"|"Ripley aunque Ud. No lo crea"|"18/01/80"|""
"1323"|""|"25/01/80"|""
"1324"|"Dagar el invencible"|"01/02/80"|""
"1325"|""|"08/02/80"|""
"1326"|"La hora del terror"|"15/02/80"|""
"1327"|"Dimensión Desconocida"|"22/02/80"|""
"1328"|""|"28/02/80"|""
"1329"|""|"05/03/80"|""
"1330"|"John Carter Guerrero de marte"|"12/03/80"|""
"1331"|""|"19/03/80"|""
"1332"|"Dimensión Desconocida"|"26/03/80"|""
"1333"|""|"02/04/80"|""
"1334"|"Boris Karloff"|"09/04/80"|""
"1335"|"Ripley Aunque Ud. No lo crea"|"16/04/80"|""
"1336"|"La hora del terror"|"23/04/80"|""
"1337"|"Popeye"|"30/04/80"|""
"1338"|"Dimensión Desconocida"|"07/05/80"|""
"1339"|""|"14/05/80"|""
"1340"|"Dagar el invencible"|"21/05/80"|""
"1341"|"Popeye"|"28/05/80"|""
"1342"|"Sombras Tenebrosas"|"06/06/80"|""
"1343"|"Boris Karloff"|"13/06/80"|""
"1344"|"John Carter Guerrero de marte"|"19/06/80"|""
"1345"|""|"27/06/80"|""
"1346"|"La hora del terror"|"02/07/80"|""
"1347"|""|"09/07/80"|""
"1348"|"Ripley Aunque Ud. No lo crea"|"16/07/80"|""
"1349"|"Boris Karloff"|"23/07/80"|""
"1350"|"Dimensión Desconocida"|"30/07/80"|""
"1351"|"El Fantasma"|"06/08/80"|""
"1352"|"Dagar el invencible"|"13/08/80"|""
"1353"|""|"20/08/80"|""
"1354"|"Sombras Tenebrosas"|"27/08/80"|""
"1355"|"La hora del terror"|"05/09/80"|""
"1356"|"John Carter Guerrero de marte"|"12/09/80"|""
"1357"|""|"19/09/80"|""
"1358"|"Gemelos de la selva"|"26/09/80"|""
"1359"|"El Fantasma"|"02/10/80"|""
"1360"|"Ripley Aunque Ud. No lo crea"|"09/10/80"|""
"1361"|""|"16/10/80"|""
"1362"|"Dimension Desconocida"|"23/10/80"|""
"1363"|"La hora del terror"|"30/10/80"|""
"1364"|"Dagar el invencible"|"07/11/80"|""
"1365"|""|"14/11/80"|""
"1366"|"Sombras Tenebrosas"|"21/11/80"|""
"1367"|"El Fantasma"|"28/11/80"|""
"1368"|"John Carter Guerrero de marte"|"05/12/80"|""
"1369"|""|"12/12/80"|""
"1370"|"Platillos voladores"|"18/12/80"|""
"1371"|"Boris Karloff"|"24/12/80"|""
"1372"|"Dimension Desconocida"|"02/01/81"|""
"1373"|"Popeye"|"09/01/81"|""
"1374"|"Platillos voladores"|"16/01/81"|""
"1375"|""|"23/01/81"|""
"1376"|"Dagar el invencible"|"30/01/81"|""
"1377"|""|"06/02/81"|""
"1378"|"Platillos voladores"|"13/02/81"|""
"1379"|"Gemelos de la selva"|"20/02/81"|""
"1380"|"John Carter Guerrero de marte"|"27/02/81"|""
"1381"|""|"04/03/81"|""
"1382"|"Ripley Aunque Ud. No lo crea"|"11/03/81"|""
"1383"|"El Fantasma"|"18/03/81"|""
"1384"|"Dimension Desconocida"|"25/03/81"|""
"1385"|"Beto el recluta"|"01/04/81"|""
"1386"|"La hora del terror"|"08/04/81"|""
"1387"|"Sombras Tenebrosas"|"15/04/81"|""
"1388"|"Boris Karloff"|"22/04/81"|""
"1389"|"Beto el recluta"|"29/04/81"|""
"1390"|"Gemelos de la selva"|"05/05/81"|""
"1391"|"El Fantasma"|"12/05/81"|""
"1392"|"John Carter Guerrero de marte"|"19/05/81"|""
"1393"|"Beto el Recluta"|"26/05/81"|""
"1394"|"Ripley Aunque Ud. No lo crea"|"03/06/81"|""
"1395"|"Dimension Desconocida"|"10/06/81"|""
"1396"|"La hora del terror"|"17/06/81"|""
"1397"|"Beto el recluta"|"24/06/81"|""
"1398"|"Sombras Tenebrosas"|"30/06/81"|""
"1399"|"El Fantasma"|"07/07/81"|""
"1400"|"Boris Karloff"|"14/07/81"|""
"1401"|"Beto el recluta"|"21/07/81"|""
"1402"|"Gemelos de la selva"|"28/07/81"|""
"1403"|"Ripley Aunque Ud. No lo crea"|"04/08/81"|""
"1404"|"John Carter Guerrero de marte"|"11/08/81"|""
"1405"|"Beto el recluta"|"18/08/81"|""
"1406"|"Morgan el guerrero audaz"|"26/08/81"|""
"1407"|"La guerra de las galaxias"|"03/09/81"|""
"1408"|"La hora del terror"|"11/09/81"|""
"1409"|"Beto el recluta"|"18/09/81"|""
"1410"|"Sombras Tenebrosas"|"25/09/81"|""
"1411"|"La Guerra de las Galaxias"|"01/10/81"|""
"1412"|"Gemelos de la selva"|"08/10/81"|""
"1413"|"Beto el recluta"|"15/10/81"|""
"1414"|"Morgan el guerrero audaz"|"22/10/81"|""
"1415"|"La guerra de las galaxias"|"29/10/81"|""
"1416"|"Dimension Desconocida"|"06/11/81"|""
"1417"|"Beto el recluta"|"13/11/81"|""
"1418"|"Morgan el guerrero audaz"|"20/11/81"|""
"1419"|"La guerra de las galaxias"|"27/11/81"|""
"1420"|"Boris Karloff"|"03/12/81"|""
"1421"|"Beto el recluta"|"10/12/81"|""
"1422"|"Morgan el guerrero audaz"|"17/12/81"|""
"1423"|"La guerra de las galaxias"|"24/12/81"|""
"1424"|"La hora del terror"|"31/12/81"|""
"1425"|"Beto el recluta"|"08/01/82"|""
"1426"|"Morgan el guerrero audaz"|"15/01/82"|""
"1427"|"La guerra de las galaxias"|"22/01/82"|""
"1428"|"Sombras Tenebrosas"|"29/01/82"|""
"1429"|"Beto el recluta"|"05/02/82"|""
"1430"|"Morgan el guerrero audaz"|"12/02/82"|""
"1431"|"La guerra de las galaxias"|"19/02/82"|""
"1432"|"Ripley Aunque Ud. No lo crea"|"26/02/82"|""
"1433"|"Beto el recluta"|"02/03/82"|""
"1434"|"Morgan el guerrero audaz"|"09/03/82"|""
"1435"|"La guerra de las galaxias"|"16/03/82"|""
"1436"|"Ripley Aunque Ud. No lo crea"|"23/03/82"|""
"1437"|"Beto el recluta"|"30/03/82"|""
"1438"|"Morgan el guerrero audaz"|"07/04/82"|""
"1439"|"La guerra de las galaxias"|"14/04/82"|""
"1440"|"Ripley Aunque Ud. No lo crea"|"21/04/82"|""
"1441"|"Beto el recluta"|"28/04/82"|""
"1442"|"Morgan el guerrero audaz"|"04/05/82"|""
"1443"|"La guerra de las galaxias"|"10/05/82"|""
"1444"|"Boris Karloff"|"18/05/82"|""
"1445"|"Beto el recluta"|"25/05/82"|""
"1446"|"Morgan el guerrero audaz"|"02/06/82"|""
"1447"|"La guerra de las galaxias"|"09/06/82"|""
"1448"|"La hora del terror"|"16/06/82"|""
"1449"|"Beto el recluta"|"26/06/82"|""
"1450"|"Morgan el guerrero audaz"|"30/06/82"|""
"1451"|"La guerra de las galaxias"|"06/07/82"|""
"1452"|"Sombras tenebrosas"|"13/07/82"|""
"1453"|"Beto el recluta"|"20/07/82"|""
"1454"|"Morgan el guerrero audaz"|"27/07/82"|""
"1455"|"La guerra de las galaxias"|"03/08/82"|""
"1456"|"Dimension Desconocida"|"10/08/82"|""
"1457"|"Beto el Recluta"|"17/08/82"|""
