"Número"|"Personaje presentado"|"Fecha"|"Correspondencias USA"
"557"|"Jim de la selva"|"29/11/64"|""
"558"|"Los Quinceañeros"|"06/12/64"|""
"559"|"Dimensión Desconocida"|"13/12/64"|""
"560"|"Paquita la Traviesa"|"20/12/64"|""
"561"|"La familia Robinson"|"27/12/64"|""
"562"|"Los Tres Chiflados"|"03/01/65"|""
"563"|"Dimensión Desconocida"|"10/01/65"|""
"564"|"Magnus"|"17/01/65"|""
"565"|"Las Aventuras de Ted y Pom"|"24/01/65"|""
"566"|"Los tres chiflados"|"31/01/65"|""
"567"|"Solar"|"07/02/65"|""
"568"|"La familia Robinson"|"14/02/65"|""
"569"|"El Amo del Sol"|"21/02/65"|""
"570"|"Mister Ed"|"28/02/65"|""
"571"|"Dimensión Desconocida"|"07/03/65"|""
"572"|"Juan Carter"|"14/03/65"|""
"573"|"El circuito del miedo"|"21/03/65"|""
"574"|"Lassie"|"28/03/65"|""
"575"|"Mi Marciano Favorito"|"04/04/65"|""
"576"|"La Familia Robinson"|"11/04/65"|""
"577"|"El Muro del Silencio"|"18/04/65"|""
"578"|"Los Tres Chiflados"|"25/04/65"|""
"579"|"Juan Carter"|"02/05/65"|""
"580"|"Dimensión Desconocida"|"09/05/65"|""
"581"|"Magnus"|"16/05/65"|""
"582"|"Ruta Nocturna"|"23/05/65"|""
"583"|"Los tres chiflados"|"30/05/65"|""
"584"|"El poderoso Sansón"|"06/06/65"|""
"585"|"La familia Robinson"|"13/06/65"|""
"586"|"Operación Júpiter"|"20/06/65"|""
"587"|"Mi marciano Favorito"|"27/06/65"|""
"588"|"Juan Carter"|"04/07/65"|""
"589"|"Dimensión Desconocida"|"11/07/65"|""
"590"|"Los Tres Chiflados"|"18/07/65"|""
"591"|"Meteoros S.O.S."|"25/07/65"|""
"592"|"Magnus"|"01/08/65"|""
"593"|"La familia Robinson"|"08/08/65"|""
"594"|"El Doctor Solar"|"15/08/65"|""
"595"|"El secreto de Jaime Torrent"|"22/08/65"|""
"596"|"Los tres chiflados"|"29/08/65"|""
"597"|"El Doctor Solar"|"05/09/65"|""
"598"|"La familia Robinson"|"12/09/65"|""
"599"|"La traición de Steve Warson"|"19/09/65"|""
"600"|"Los Monstruos"|"26/09/65"|""
"601"|"Viaje al fondo del mar"|"03/10/65"|""
"602"|"Mi Marciano Favorito"|"10/10/65"|""
"603"|"Jhonny Quest"|"17/10/65"|""
"604"|"La gran Amenaza"|"24/10/65"|""
"605"|"Los tres chiflados"|"31/10/65"|""
"606"|"El Doctor Solar"|"07/11/65"|""
"607"|"Magnus"|"14/11/65"|""
"608"|"Jari y el Plan Z"|"21/11/65"|""
"609"|"Boris Karloff"|"28/11/65"|""
"610"|"La Familia Robinson"|"05/12/65"|""
"611"|"Steve Zodiac"|"12/12/65"|""
"612"|"Los Intrépidos"|"19/12/65"|""
"613"|"Boris Karloff"|"26/12/65"|""
"614"|"Waldo"|"02/01/66"|""
"615"|"Dimensión Desconocida"|"09/01/66"|""
"616"|"Mi Marciano Favorito"|"16/01/66"|""
"617"|"Golpe de Audacia"|"23/01/66"|""
"618"|"El poderoso Sansón"|"30/01/66"|""
"619"|"Los Monstruos"|"06/02/66"|""
"620"|"Los tres Chiflados"|"13/02/66"|""
"621"|"El octavo piloto"|"20/02/66"|""
"622"|"El Doctor Solar"|"27/02/66"|""
"623"|"Supercar"|"06/03/66"|""
"624"|"Los pequeños monstruos"|"13/03/66"|""
"625"|"Waldo"|"20/03/66"|""
"626"|"Lassie"|"27/03/66"|""
"627"|"Boris Karloff"|"03/04/66"|""
"628"|"Magnus"|"10/04/66"|""
"629"|"Mi marciano favorito"|"17/04/66"|""
"630"|"La llamada del mar"|"24/04/66"|""
"631"|"Médico de Guardia"|"01/05/66"|""
"632"|"El Doctor Solar"|"08/05/66"|""
"633"|"El poderoso Sansón"|"15/05/66"|""
"634"|"Almas en primavera"|"22/05/66"|""
"635"|"Boris Karloff"|"29/05/66"|""
"636"|"Dimensión Desconocida"|"05/06/66"|""
"637"|"Supercar"|"12/06/66"|""
"638"|"El sueño de luisito"|"19/06/66"|""
"639"|"Viaje al fondo del mar"|"26/06/66"|""
"640"|"Los Tres Chiflados"|"03/07/66"|""
"641"|"La familia Robinson"|"10/07/66"|""
"642"|"Boris Karloff"|"17/07/66"|""
"643"|"Los apuros de Mónica"|"24/07/66"|""
"644"|"Misión Secreta"|"31/07/66"|""
"645"|"Dimensión Desconocida"|"07/08/66"|""
"646"|"El Agente de Cipol"|"14/08/66"|""
"647"|"El instinto y el corazón"|"21/08/66"|""
"648"|"Los Pequeños Monstruos"|"28/08/66"|""
"649"|"Sansón"|"04/09/66"|""
"650"|"El Doctor Solar"|"11/09/66"|""
"651"|"La princesa flor de oro"|"18/09/66"|""
"652"|"Supercar"|"25/09/66"|""
"653"|"Waldo"|"02/10/66"|""
"654"|"Las aventuras de Simbad"|"09/10/66"|""
"655"|"Los tres Chiflados"|"16/10/66"|""
"656"|"El destino manda"|"24/10/66"|""
"657"|"Magnus"|"31/10/66"|""
"658"|"La familia Robinson"|"06/11/66"|""
"659"|"Mi Marciano Favorito"|"13/11/66"|""
"660"|"Mi querido vagabundo"|"20/11/66"|""
"661"|"Boris Karloff"|"27/11/66"|""
"662"|"Dimensión Desconocida"|"04/12/66"|""
"663"|"Waldo"|"11/12/66"|""
"664"|"Supercar"|"18/12/66"|""
"665"|"El pañuelo azul"|"25/12/66"|""
"666"|"Los pequeños monstruos"|"01/01/67"|""
"667"|"Viaje al fondo del mar ( comic EN )"|"08/01/67"|""
"668"|"Los Tres Chiflados"|"15/01/67"|""
"669"|"Ventana al mar"|"22/01/67"|""
"670"|"Magnus"|"29/01/67"|""
"671"|"Mi Marciano Favorito"|"05/02/67"|""
"672"|"Agente de Cipol"|"12/02/67"|""
"673"|"La perla maravillosa"|"19/02/67"|""
"674"|"Los Monstruos"|"26/02/67"|""
"675"|"Boris Karloff"|"05/03/67"|""
"676"|"Sansón"|"12/03/67"|""
"677"|"Dimensión Desconocida"|"19/03/67"|""
"678"|"Cita a las 8"|"26/03/67"|""
"679"|"El Doctor Solar"|"02/04/67"|""
"680"|"El agente de Cipol"|"09/04/67"|""
"681"|"La familia Robinson"|"16/04/67"|""
"682"|"Su mejor carrera"|"23/04/67"|""
"683"|"Viaje al fondo del mar"|"30/04/67"|""
"684"|"Los Tres Chiflados"|"07/05/67"|""
"685"|"Mi Marciano Favorito"|"14/05/67"|""
"686"|"El país del oro"|"21/05/67"|""
"687"|"Los monstruos"|"28/05/67"|""
"688"|"Agente de Cipol"|"04/06/67"|""
"689"|"Magnus"|"11/06/67"|""
"690"|"La rosa negra"|"18/06/67"|""
"691"|""|"25/06/67"|""
"692"|"El poderoso Sansón"|"02/07/67"|""
"693"|"Boris Karloff"|"09/07/67"|""
"694"|"Dimensión Desconocida"|"16/07/67"|""
"695"|"Juego de amor"|"23/07/67"|""
"696"|"El Doctor Solar"|"30/07/67"|""
"697"|"El Agente de CIPOL"|"06/08/67"|""
"698"|"Mi Marciano Favorito"|"13/08/67"|""
"699"|"El velo del tul"|"20/08/67"|""
"700"|"Los Tres Chiflados"|"27/08/67"|""
"701"|"Viaje al fondo del mar"|"03/09/67"|""
"702"|"Magnus"|"10/09/67"|""
"703"|"La Familia Robinson"|"17/09/67"|""
"704"|"Salto a la fama"|"24/09/67"|""
"705"|"El tunel del tiempo"|"01/10/67"|""
"706"|"El Avispón Verde"|"08/10/67"|""
"707"|"Boris Karloff"|"15/10/67"|""
"708"|"Eso es amor"|"22/10/67"|""
"709"|"Honey West"|"29/10/67"|""
"710"|"La chica de CIPOL"|"05/11/67"|""
"711"|"Doc Savage-el hombre de bronce"|"12/11/67"|""
"712"|"Una idea luminosa"|"19/11/67"|""
"713"|"Los Monstruos"|"26/11/67"|""
"714"|"El agente de CIPOL"|"03/12/67"|""
"715"|"El fantasma del espacio"|"10/12/67"|""
"716"|"Laurel y Hardy"|"17/12/67"|""
"717"|"La primera flor"|"24/12/67"|""
"718"|"El Doctor Solar"|"31/12/67"|""
"719"|"Los pequeños monstruos"|"07/01/68"|""
"720"|"Alrededor del tiempo"|"14/01/68"|""
"721"|"Un viejo piano"|"21/01/68"|""
"722"|"El Agente de CIPOL"|"28/01/68"|""
"723"|"La familia Robinson"|"04/02/68"|""
"724"|"Magnus"|"11/02/68"|""
"725"|"La sonrisa de una estrella"|"18/02/68"|""
"726"|"Dimensión Desconocida"|"25/02/68"|""
"727"|"Los Tres Chiflados"|"03/03/68"|""
"728"|"Jim de la Selva"|"10/03/68"|""
"729"|"Agente de CIPOL"|"17/03/68"|""
"730"|"El principe Vikingo"|"24/03/68"|""
"731"|"La familia Robinson"|"31/03/68"|""
"732"|"El poderoso Sansón"|"07/04/68"|""
"733"|"Boris Karloff"|"14/04/68"|""
"734"|"Una novia para Dan"|"21/04/68"|""
"735"|"El Avispón Verde"|"28/04/68"|""
"736"|"El tunel del tiempo"|"05/05/68"|""
"737"|"Espías en Conflicto"|"12/05/68"|""
"738"|"El Prestidigitador"|"19/05/68"|""
"739"|"Lassie"|"26/05/68"|""
"740"|""|"02/06/68"|""
"741"|"Dimensión Desconocida"|"09/06/68"|""
"742"|"Los Tres Chiflados"|"16/06/68"|""
"743"|"El Ángel del Barrio"|"23/06/68"|""
"744"|"La Chica de CIPOL"|"30/06/68"|""
"745"|"El Avispon Verde"|"07/07/68"|""
"746"|"La Familia Robinson"|"14/07/68"|""
"747"|"La vuelta de Sherezada"|"21/07/68"|""
"748"|"Boris Karloff"|"28/07/68"|""
"749"|"Magnus"|"04/08/68"|""
"750"|"El Agente de CIPOL"|"11/08/68"|""
"751"|"La experiencia de Myrna"|"18/08/68"|""
"752"|"Dimensión Desconocida"|"25/08/68"|""
"753"|"Los Tres Chiflados"|"01/09/68"|""
"754"|"El Doctor Solar"|"08/09/68"|""
"755"|"Lassie"|"15/09/68"|""
"756"|"La chica de CIPOL"|"22/09/68"|""
"757"|"La familia Robinson"|"29/09/68"|""
"758"|"Magnus"|"06/10/68"|""
"759"|"Laurel y Hardy"|"13/10/68"|""
"760"|"Viaje al fondo del mar"|"20/10/68"|""
"761"|"Dimensión Desconocida"|"27/10/68"|""
"762"|"Los Tres Chiflados"|"03/11/68"|""
"763"|"El Poderoso Sansón"|"10/11/68"|""
"764"|"Espías en Conflicto"|"17/11/68"|""
"765"|"Agente de CIPOL"|"24/11/68"|""
"766"|"La familia Robinson"|"01/12/68"|""
"767"|"Magnus"|"08/12/68"|""
"768"|"Lassie"|"15/12/68"|""
"769"|"El Doctor Solar"|"22/12/68"|""
"770"|"Los Monstruos"|"29/12/68"|""
"771"|"Viaje al fondo del mar"|"05/01/69"|""
"772"|"Los Tres Chiflados"|"12/01/69"|""
"773"|"El poderoso Sansón"|"19/01/69"|""
"774"|"Dimensión desconocida"|"26/01/69"|""
"775"|"Maya"|"02/02/69"|""
"776"|"Los Pequeños Monstruos"|"09/02/69"|""
"777"|"El Doctor Solar"|"16/02/69"|""
"778"|"Boris Karloff"|"23/02/69"|""
"779"|"Simbad"|"02/03/69"|""
"780"|"La familia Robinson"|"09/03/69"|""
"781"|"Magnus"|"16/03/69"|""
"782"|"Lassie"|"23/03/69"|""
"783"|"Espías en Conflicto"|"30/03/69"|""
"784"|"Los Invasores"|"06/04/69"|""
"785"|"Flipper"|"13/04/69"|""
"786"|"El Buho"|"20/04/69"|""
"787"|"Los tres Chiflados"|"27/04/69"|""
"788"|"La chica de CIPOL"|"04/05/69"|""
"789"|"Viaje al fondo del mar"|"11/05/69"|""
"790"|"Los Monstruos"|"18/05/69"|""
"791"|"El Poderoso Sansón"|"25/05/69"|""
"792"|"Dimensión Desconocida"|"01/06/69"|""
"793"|"Los Pequeños Monstruos"|"08/06/69"|""
"794"|"El Doctor Solar"|"15/06/69"|""
"795"|"Boris Karloff"|"22/06/69"|""
"796"|"La familia Robinson"|"29/06/69"|""
"797"|"Magnus"|"06/07/69"|""
"798"|"El Agente de CIPOL"|"13/07/69"|""
"799"|"Lassie"|"20/07/69"|""
"800"|"Los Invasores"|"27/07/69"|""
"801"|"Flipper"|"03/08/69"|""
"802"|"Dimensión Desconocida"|"10/08/69"|""
"803"|"La chica de CIPOL"|"17/08/69"|""
"804"|"Los Monstruos"|"24/08/69"|""
"805"|"Viaje al fondo del mar"|"31/08/69"|""
"806"|"Los Tres Chiflados"|"07/09/69"|""
"807"|"El poderoso Sansón"|"14/09/69"|""
"808"|"La familia Robinson"|"21/09/69"|""
"809"|"Los Pequeños Monstruos"|"28/09/69"|""
"810"|"El Doctor Solar"|"05/10/69"|""
"811"|"Boris Karloff"|"12/10/69"|""
"812"|"Flipper"|"19/10/69"|""
"813"|"Magnus"|"26/10/69"|""
"814"|"El Agente de CIPOL"|"02/11/69"|""
"815"|"Espías en Conflicto"|"09/11/69"|""
"816"|"Los Invasores"|"16/11/69"|""
"817"|"Los Monstruos"|"23/11/69"|""
"818"|"Viaje al fondo del mar"|"30/11/69"|""
"819"|"Los Tres Chiflados"|"07/12/69"|""
"820"|"El Poderoso Sansón"|"14/12/69"|""
"821"|"El Agente de CIPOL"|"21/12/69"|""
"822"|"Tierra de gigantes"|"28/12/69"|""
"823"|"El Doctor Solar"|"04/01/70"|""
"824"|"La Familia Robinson"|"11/01/70"|""
"825"|"Magnus"|"18/01/70"|""
"826"|"El poderoso Sansón"|"25/01/70"|""
"827"|"Espías en Conflicto"|"01/02/70"|""
"828"|"Lassie"|"08/02/70"|""
"829"|"Tierra de gigantes"|"15/02/70"|""
"830"|"Viaje al fondo del mar"|"22/02/70"|""
"831"|"El Agente de CIPOL"|"01/03/70"|""
"832"|"Los Tres Chiflados"|"08/03/70"|""
"833"|"El Doctor Solar"|"15/03/70"|""
"834"|"Los Invasores"|"22/03/70"|""
"835"|"Boris Karloff"|"29/03/70"|""
"836"|"Tierra de gigantes"|"05/04/70"|""
"837"|"La Familia Robinson"|"12/04/70"|""
"838"|"Viaje al fondo del mar"|"19/04/70"|""
"839"|"El agente de CIPOL"|"26/04/70"|""
"840"|"Magnus"|"03/05/70"|""
"841"|"El poderoso Sansón"|"10/05/70"|""
"842"|"El Doctor Solar"|"17/05/70"|""
"843"|"Boris Karloff"|"24/05/70"|""
"844"|"Lassie"|"31/05/70"|""
"845"|"Tierra de gigantes"|"07/06/70"|""
"846"|"Viaje al fondo del mar"|"14/06/70"|""
"847"|"El agente de CIPOL"|"21/06/70"|""
"848"|"Magnus"|"28/06/70"|""
"849"|"El poderoso Sansón"|"05/07/70"|""
"850"|"El Doctor Solar"|"12/07/70"|""
"851"|"Boris Karloff"|"19/07/70"|""
"852"|"Lassie"|"26/07/70"|""
"853"|"Los pequeños monstruos"|"02/08/70"|""
"854"|"Viaje al fondo del mar"|"09/08/70"|""
"855"|"La familia Robinson"|"16/08/70"|""
"856"|"Magnus"|"23/08/70"|""
"857"|"El poderoso Sansón"|"30/08/70"|""
"858"|"El Doctor Solar"|"06/09/70"|""
"859"|"Agente de CIPOL"|"13/09/70"|""
"860"|"Boris Karloff"|"20/09/70"|""
"861"|"Los tres Chiflados"|"27/09/70"|""
"862"|"El Doctor Solar"|"04/10/70"|""
"863"|"La familia Robinson"|"11/10/70"|""
"864"|"Magnus"|"18/10/70"|""
"865"|"El poderoso Sansón"|"25/10/70"|""
"866"|"El Agente de CIPOL"|"01/11/70"|""
"867"|"Lassie"|"08/11/70"|""
"868"|"La Joven Tigre"|"15/11/70"|""
"869"|"La familia Robinson"|"22/11/70"|""
"870"|"Capitán Aventura"|"29/11/70"|""
"871"|"Magnus"|"06/12/70"|""
"872"|"Los tres chiflados"|"13/12/70"|""
"873"|"El Agente de CIPOL"|"20/12/70"|""
"874"|"Lassie"|"27/12/70"|""
"875"|"La familia Robinson"|"03/01/71"|""
"876"|"Rin Tin Tin"|"10/01/71"|""
"877"|"Los Modélicos"|"17/01/71"|""
"878"|"El poderoso Sansón"|"24/01/71"|""
"879"|"Boris Karloff"|"31/01/71"|""
"880"|"Rin Tin Tin"|"07/02/71"|""
"881"|"El Agente de CIPOL"|"14/02/71"|""
"882"|"Lassie"|"21/02/71"|""
"883"|"Tierra de Gigantes"|"28/02/71"|""
"884"|"Rin tin tin"|"07/03/71"|""
"885"|"La familia Robinson"|"13/03/71"|""
"886"|"Boris Karloff"|"20/03/71"|""
"887"|"Los peligros de Paulina"|"27/03/71"|""
"888"|"Rin tin tin"|"08/04/71"|""
"889"|"El gobernador y su hija"|"16/04/71"|""
"890"|"Los pequeños monstruos"|"30/04/71"|""
"891"|"La familia Robinson"|"08/05/71"|""
"892"|"Rin tin tin"|"12/05/71"|""
"893"|"Viaje fantástico"|"22/05/71"|""
"894"|"Lassie"|"30/05/71"|""
"895"|"Boris Karloff"|"09/06/71"|""
"896"|"Rin tin tin"|"18/06/71"|""
"897"|"Ripley Aunque Ud. No lo crea"|"26/06/71"|""
"898"|"Lassie"|"08/07/71"|""
"899"|"La familia Robinson"|"16/07/71"|""
"900"|"Rin tin tin"|"25/07/71"|""
"901"|"El gobernador y su hija"|"07/08/71"|""
"902"|"Los Hardy boys"|"14/08/71"|""
"903"|"Ripley Aunque Ud. No lo crea"|"22/08/71"|""
"904"|"Rin tin tin"|"04/09/71"|""
"905"|"Boris Karloff"|"12/09/71"|""
"906"|"Ripley Aunque Ud. No lo crea"|"26/09/71"|""
"907"|"La familia Robinson"|"07/10/71"|""
"908"|"Rin tin tin"|"14/10/71"|""
"909"|"La pantera rosa"|"22/10/71"|""
"910"|"Los Hardy boys"|"30/10/71"|""
"911"|"El gobernador y su hija"|"07/11/71"|""
"912"|"Rin tin tin"|"14/11/71"|""
"913"|"El corredor Mod"|"21/11/71"|""
"914"|"Lassie ( redicion Num. 61 )"|"28/11/71"|""
"915"|"La familia Robinson"|"05/12/71"|""
"916"|"Rin tin tin"|"12/12/71"|""
"917"|"Los Hardy Boys"|"19/12/71"|""
"918"|"Ripley Aunque Ud. No lo crea"|"26/12/71"|""
"919"|"Los peligros de Paulina"|"02/01/72"|""
"920"|"Rin tin tin"|"09/01/72"|""
"921"|"Lancelot Link"|"16/01/72"|""
"922"|"Ripley Aunque Ud. No lo crea"|"23/01/72"|""
"923"|"El corredor Mod"|"30/01/72"|""
"924"|"Rin tin tin"|"06/02/72"|""
"925"|"Boris Karloff"|"13/02/72"|""
"926"|"Ripley Aunque Ud. No lo crea"|"20/02/72"|""
"927"|"Lancelot Link"|"27/02/72"|""
"928"|"Rin tin tin"|"05/03/72"|""
"929"|"Boris Karloff"|"12/03/72"|""
"930"|"Ripley Aunque Ud. No lo crea"|"19/03/72"|""
"931"|"La pantera rosa y el inspector"|"26/03/72"|""
"932"|"Boris Karloff"|"02/04/72"|""
"933"|"Rin tin tin"|"09/04/72"|""
"934"|"Ripley Aunque Ud. No lo crea"|"16/04/72"|""
"935"|"Dimensión Desconocida"|"23/04/72"|""
"936"|"Boris Karloff"|"30/04/72"|""
"937"|"Rin tin tin"|"07/05/72"|""
"938"|"Ripley Aunque Ud. No lo crea"|"14/05/72"|""
"939"|"Rin tin tin"|"21/05/72"|""
"940"|"El corredor Mod"|"28/05/72"|""
"941"|"Rin tin tin"|"04/06/72"|""
"942"|"Los peligros de Paulina"|"11/06/72"|""
"943"|"Dimensión Desconocida"|"18/06/72"|""
"944"|"Boris Karloff"|"25/06/72"|""
"945"|"Rin tin tin"|"02/07/72"|""
"946"|"Ripley Aunque Ud. No lo crea"|"09/07/72"|""
"947"|"Dimensión Desconocida"|"16/07/72"|""
"948"|"Trompín y Colita"|"23/07/72"|""
"949"|"Rin tin tin"|"30/07/72"|""
"950"|"Ripley Aunque Ud. No lo crea"|"06/08/72"|""
"951"|"Boris Karloff"|"13/08/72"|""
"952"|"Dimensión Desconocida"|"20/08/72"|""
"953"|"Rin tin tin"|"27/08/72"|""
"954"|"Ripley Aunque Ud. No lo crea"|"03/09/72"|""
"955"|"El corredor Mod"|"10/09/72"|""
"956"|"La Pantera Rosa"|"17/09/72"|""
"957"|"Rin tin tin"|"24/09/72"|""
"958"|"Ripley Aunque Ud. No lo crea"|"01/10/72"|""
"959"|"Los peligros de Paulina"|"08/10/72"|""
"960"|"Microbots"|"15/10/72"|""
"961"|"Rin tin tin"|"22/10/72"|""
"962"|"Ripley Aunque Ud. No lo crea"|"29/10/72"|""
"963"|"Dimensión Desconocida"|"05/11/72"|""
"964"|"Lancelot Link"|"12/11/72"|""
"965"|"Rin tin tin"|"19/11/72"|""
"966"|"Ripley Aunque Ud. No lo crea"|"26/11/72"|""
"967"|"Trompín y Colita"|"03/12/72"|""
"968"|"Dimensión Desconocida"|"10/12/72"|""
"969"|"Rin Tin Tin"|"17/12/72"|""
"970"|"Ripley Aunque Ud. No lo crea"|"24/12/72"|""
"971"|"Boris Karloff"|"31/12/72"|""
"972"|"La hermandad de la lanza"|"07/01/73"|""
"973"|"Rin tin tin"|"14/01/73"|""
"974"|""|"21/01/73"|""
"975"|"Ferd nand"|"28/01/73"|""
"976"|"Los gemelos de la selva"|"04/02/73"|""
"977"|"Rin tin tin"|"11/02/73"|""
"978"|"Bip Bip el Correcaminos"|"18/02/73"|""
"979"|"Ferd nand"|"25/02/73"|""
"980"|"El mafioso Nick"|"04/03/73"|""
"981"|"Rin tin tin"|"11/03/73"|""
"982"|"Trucutu"|"18/03/73"|""
"983"|"Ferd nand"|"25/03/73"|""
"984"|"El mafioso Nick"|"01/04/73"|""
"985"|"Rin tin tin"|"08/04/73"|""
"986"|"Trucutu"|"15/04/73"|""
"987"|"El capitán águila"|"22/04/73"|""
"988"|"El mafioso Nick"|"29/04/73"|""
"989"|"Rin tin tin"|"06/05/73"|""
"990"|"Trucutu"|"13/05/73"|""
"991"|"Ferd nand"|"20/05/73"|""
"992"|"El mafioso Nick"|"27/05/73"|""
"993"|"Rin tin tin"|"03/06/73"|""
"994"|"Trucutu"|"10/06/73"|""
"995"|"Ferd nand"|"17/06/73"|""
"996"|"El Mafioso Nick"|"24/06/73"|""
"997"|"Rin tin tin"|"01/07/73"|""
"998"|"El Capitán Águila"|"08/07/73"|""
"999"|"Ferd nand"|"15/07/73"|""
"1000"|"El mafioso Nick"|"22/07/73"|""
